train_size,model,finding,f1,j_stat,mcc
300,pt-radiobert-from-scratch,Thoracic drain,0.55,0.51,0.46
300,pt-radiobert-from-scratch,Venous Catheter,0.92,0.81,0.81
300,pt-radiobert-from-scratch,Gastric Tube,0.91,0.87,0.88
300,pt-radiobert-from-scratch,Tracheal tube/canula,0.77,0.61,0.61
300,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
300,bert-base-multilingual-cased,Congestion,0.19,0.1,0.07
300,bert-base-multilingual-cased,Opacity,0.69,0.25,0.24
300,bert-base-multilingual-cased,Effusion,0.7,0.48,0.48
300,bert-base-multilingual-cased,Pneumothorax,0.24,0.53,0.28
300,bert-base-multilingual-cased,Thoracic drain,0.45,0.42,0.35
300,bert-base-multilingual-cased,Venous Catheter,0.95,0.88,0.87
300,bert-base-multilingual-cased,Gastric Tube,0.92,0.86,0.89
300,bert-base-multilingual-cased,Tracheal tube/canula,0.9,0.82,0.83
300,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
400,pt-radiobert-base-german-cased,Congestion,0.63,0.69,0.58
400,pt-radiobert-base-german-cased,Opacity,0.75,0.42,0.39
400,pt-radiobert-base-german-cased,Effusion,0.85,0.71,0.72
400,pt-radiobert-base-german-cased,Pneumothorax,0.23,0.93,0.35
400,pt-radiobert-base-german-cased,Thoracic drain,0.84,0.78,0.8
400,pt-radiobert-base-german-cased,Venous Catheter,0.95,0.88,0.87
400,pt-radiobert-base-german-cased,Gastric Tube,0.92,0.9,0.9
400,pt-radiobert-base-german-cased,Tracheal tube/canula,0.94,0.88,0.89
400,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
400,bert-base-german-cased,Congestion,0.68,0.66,0.61
400,bert-base-german-cased,Opacity,0.76,0.48,0.43
400,bert-base-german-cased,Effusion,0.87,0.76,0.76
400,bert-base-german-cased,Pneumothorax,0.1,0.93,0.22
400,bert-base-german-cased,Thoracic drain,0.85,0.8,0.81
400,bert-base-german-cased,Venous Catheter,0.94,0.87,0.86
400,bert-base-german-cased,Gastric Tube,0.95,0.91,0.93
400,bert-base-german-cased,Tracheal tube/canula,0.91,0.86,0.85
400,bert-base-german-cased,Misplaced Medical Device,0,0,0
400,pt-radiobert-from-scratch,Congestion,0.44,0.37,0.32
400,pt-radiobert-from-scratch,Opacity,0.73,0.37,0.34
400,pt-radiobert-from-scratch,Effusion,0.75,0.53,0.54
400,pt-radiobert-from-scratch,Pneumothorax,0.05,0.92,0.15
400,pt-radiobert-from-scratch,Thoracic drain,0.63,0.57,0.54
400,pt-radiobert-from-scratch,Venous Catheter,0.93,0.84,0.84
400,pt-radiobert-from-scratch,Gastric Tube,0.92,0.88,0.89
400,pt-radiobert-from-scratch,Tracheal tube/canula,0.85,0.74,0.74
400,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
400,bert-base-multilingual-cased,Congestion,0.37,0.61,0.37
400,bert-base-multilingual-cased,Opacity,0.7,0.3,0.29
400,bert-base-multilingual-cased,Effusion,0.76,0.57,0.57
400,bert-base-multilingual-cased,Pneumothorax,0.18,0.73,0.27
400,bert-base-multilingual-cased,Thoracic drain,0.73,0.65,0.65
400,bert-base-multilingual-cased,Venous Catheter,0.94,0.86,0.85
400,bert-base-multilingual-cased,Gastric Tube,0.94,0.92,0.92
400,bert-base-multilingual-cased,Tracheal tube/canula,0.91,0.84,0.84
400,bert-base-multilingual-cased,Misplaced Medical Device,0.08,0.95,0.2
500,pt-radiobert-base-german-cased,Congestion,0.55,0.51,0.45
500,pt-radiobert-base-german-cased,Opacity,0.78,0.51,0.5
500,pt-radiobert-base-german-cased,Effusion,0.84,0.71,0.71
500,pt-radiobert-base-german-cased,Pneumothorax,0.47,0.65,0.47
500,pt-radiobert-base-german-cased,Thoracic drain,0.82,0.75,0.76
500,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.9,0.89
500,pt-radiobert-base-german-cased,Gastric Tube,0.95,0.93,0.94
500,pt-radiobert-base-german-cased,Tracheal tube/canula,0.91,0.85,0.84
500,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
500,bert-base-german-cased,Congestion,0.5,0.58,0.45
500,bert-base-german-cased,Opacity,0.83,0.63,0.6
500,bert-base-german-cased,Effusion,0.89,0.8,0.8
500,bert-base-german-cased,Pneumothorax,0.3,0.81,0.38
500,bert-base-german-cased,Thoracic drain,0.87,0.81,0.84
500,bert-base-german-cased,Venous Catheter,0.95,0.9,0.89
500,bert-base-german-cased,Gastric Tube,0.95,0.92,0.93
500,bert-base-german-cased,Tracheal tube/canula,0.96,0.92,0.93
500,bert-base-german-cased,Misplaced Medical Device,0,0,0
500,pt-radiobert-from-scratch,Congestion,0.3,0.29,0.21
500,pt-radiobert-from-scratch,Opacity,0.72,0.38,0.37
500,pt-radiobert-from-scratch,Effusion,0.74,0.5,0.51
500,pt-radiobert-from-scratch,Pneumothorax,0.35,0.69,0.39
500,pt-radiobert-from-scratch,Thoracic drain,0.75,0.66,0.68
500,pt-radiobert-from-scratch,Venous Catheter,0.94,0.86,0.85
500,pt-radiobert-from-scratch,Gastric Tube,0.92,0.89,0.89
500,pt-radiobert-from-scratch,Tracheal tube/canula,0.87,0.77,0.77
500,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
500,bert-base-multilingual-cased,Congestion,0.39,0.4,0.3
500,bert-base-multilingual-cased,Opacity,0.72,0.35,0.34
500,bert-base-multilingual-cased,Effusion,0.81,0.64,0.64
500,bert-base-multilingual-cased,Pneumothorax,0.09,0.43,0.14
500,bert-base-multilingual-cased,Thoracic drain,0.86,0.81,0.82
500,bert-base-multilingual-cased,Venous Catheter,0.94,0.87,0.86
500,bert-base-multilingual-cased,Gastric Tube,0.97,0.96,0.96
500,bert-base-multilingual-cased,Tracheal tube/canula,0.92,0.87,0.87
500,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
600,pt-radiobert-base-german-cased,Congestion,0.78,0.75,0.72
600,pt-radiobert-base-german-cased,Opacity,0.85,0.7,0.66
600,pt-radiobert-base-german-cased,Effusion,0.89,0.79,0.79
600,pt-radiobert-base-german-cased,Pneumothorax,0.34,0.58,0.36
600,pt-radiobert-base-german-cased,Thoracic drain,0.85,0.8,0.81
600,pt-radiobert-base-german-cased,Venous Catheter,0.97,0.92,0.92
600,pt-radiobert-base-german-cased,Gastric Tube,0.95,0.93,0.94
600,pt-radiobert-base-german-cased,Tracheal tube/canula,0.96,0.92,0.93
600,pt-radiobert-base-german-cased,Misplaced Medical Device,0.15,0.62,0.22
600,bert-base-german-cased,Congestion,0.64,0.63,0.56
600,bert-base-german-cased,Opacity,0.83,0.62,0.6
600,bert-base-german-cased,Effusion,0.88,0.77,0.77
600,bert-base-german-cased,Pneumothorax,0.48,0.68,0.49
600,bert-base-german-cased,Thoracic drain,0.87,0.83,0.83
600,bert-base-german-cased,Venous Catheter,0.96,0.92,0.91
600,bert-base-german-cased,Gastric Tube,0.95,0.9,0.93
600,bert-base-german-cased,Tracheal tube/canula,0.95,0.91,0.92
600,bert-base-german-cased,Misplaced Medical Device,0.22,0.96,0.35
600,pt-radiobert-from-scratch,Congestion,0.59,0.52,0.49
600,pt-radiobert-from-scratch,Opacity,0.74,0.39,0.37
600,pt-radiobert-from-scratch,Effusion,0.78,0.59,0.59
600,pt-radiobert-from-scratch,Pneumothorax,0.26,0.68,0.32
600,pt-radiobert-from-scratch,Thoracic drain,0.72,0.74,0.67
600,pt-radiobert-from-scratch,Venous Catheter,0.93,0.85,0.84
600,pt-radiobert-from-scratch,Gastric Tube,0.94,0.91,0.91
600,pt-radiobert-from-scratch,Tracheal tube/canula,0.91,0.84,0.84
600,pt-radiobert-from-scratch,Misplaced Medical Device,0.15,0.96,0.28
600,bert-base-multilingual-cased,Congestion,0.54,0.42,0.41
600,bert-base-multilingual-cased,Opacity,0.7,0.28,0.26
600,bert-base-multilingual-cased,Effusion,0.78,0.59,0.6
600,bert-base-multilingual-cased,Pneumothorax,0.21,0.56,0.26
600,bert-base-multilingual-cased,Thoracic drain,0.81,0.82,0.77
600,bert-base-multilingual-cased,Venous Catheter,0.95,0.89,0.88
600,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
600,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.95
600,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
700,pt-radiobert-base-german-cased,Congestion,0.83,0.8,0.78
700,pt-radiobert-base-german-cased,Opacity,0.85,0.69,0.66
700,pt-radiobert-base-german-cased,Effusion,0.91,0.83,0.83
700,pt-radiobert-base-german-cased,Pneumothorax,0.37,0.84,0.44
700,pt-radiobert-base-german-cased,Thoracic drain,0.86,0.79,0.82
700,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.92,0.91
700,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
700,pt-radiobert-base-german-cased,Tracheal tube/canula,0.96,0.92,0.93
700,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
700,bert-base-german-cased,Congestion,0.81,0.79,0.76
700,bert-base-german-cased,Opacity,0.83,0.63,0.62
700,bert-base-german-cased,Effusion,0.9,0.81,0.82
700,bert-base-german-cased,Pneumothorax,0.3,0.81,0.38
700,bert-base-german-cased,Thoracic drain,0.89,0.85,0.86
700,bert-base-german-cased,Venous Catheter,0.97,0.93,0.92
700,bert-base-german-cased,Gastric Tube,0.96,0.92,0.94
700,bert-base-german-cased,Tracheal tube/canula,0.96,0.93,0.94
700,bert-base-german-cased,Misplaced Medical Device,0,0,0
700,pt-radiobert-from-scratch,Congestion,0.49,0.45,0.38
700,pt-radiobert-from-scratch,Opacity,0.75,0.42,0.4
700,pt-radiobert-from-scratch,Effusion,0.76,0.55,0.56
700,pt-radiobert-from-scratch,Pneumothorax,0.23,0.39,0.23
700,pt-radiobert-from-scratch,Thoracic drain,0.78,0.76,0.73
700,pt-radiobert-from-scratch,Venous Catheter,0.94,0.87,0.85
700,pt-radiobert-from-scratch,Gastric Tube,0.93,0.89,0.9
700,pt-radiobert-from-scratch,Tracheal tube/canula,0.91,0.84,0.84
700,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
700,bert-base-multilingual-cased,Congestion,0.56,0.63,0.5
700,bert-base-multilingual-cased,Opacity,0.7,0.29,0.27
700,bert-base-multilingual-cased,Effusion,0.84,0.69,0.7
700,bert-base-multilingual-cased,Pneumothorax,0.33,0.42,0.31
700,bert-base-multilingual-cased,Thoracic drain,0.86,0.81,0.82
700,bert-base-multilingual-cased,Venous Catheter,0.96,0.92,0.91
700,bert-base-multilingual-cased,Gastric Tube,0.97,0.94,0.95
700,bert-base-multilingual-cased,Tracheal tube/canula,0.96,0.93,0.94
700,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
800,pt-radiobert-base-german-cased,Congestion,0.87,0.83,0.83
800,pt-radiobert-base-german-cased,Opacity,0.86,0.71,0.69
800,pt-radiobert-base-german-cased,Effusion,0.92,0.86,0.86
800,pt-radiobert-base-german-cased,Pneumothorax,0.73,0.86,0.72
800,pt-radiobert-base-german-cased,Thoracic drain,0.92,0.89,0.9
800,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.91,0.91
800,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
800,pt-radiobert-base-german-cased,Tracheal tube/canula,0.96,0.93,0.94
800,pt-radiobert-base-german-cased,Misplaced Medical Device,0.08,0.45,0.13
800,bert-base-german-cased,Congestion,0.86,0.82,0.81
800,bert-base-german-cased,Opacity,0.87,0.72,0.72
800,bert-base-german-cased,Effusion,0.92,0.86,0.86
800,bert-base-german-cased,Pneumothorax,0.63,0.86,0.65
800,bert-base-german-cased,Thoracic drain,0.88,0.83,0.85
800,bert-base-german-cased,Venous Catheter,0.95,0.89,0.89
800,bert-base-german-cased,Gastric Tube,0.97,0.94,0.96
800,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.95
800,bert-base-german-cased,Misplaced Medical Device,0,0,0
800,pt-radiobert-from-scratch,Congestion,0.64,0.63,0.57
800,pt-radiobert-from-scratch,Opacity,0.76,0.45,0.44
800,pt-radiobert-from-scratch,Effusion,0.78,0.59,0.6
800,pt-radiobert-from-scratch,Pneumothorax,0.4,0.52,0.39
800,pt-radiobert-from-scratch,Thoracic drain,0.68,0.63,0.6
800,pt-radiobert-from-scratch,Venous Catheter,0.93,0.84,0.83
800,pt-radiobert-from-scratch,Gastric Tube,0.93,0.9,0.91
800,pt-radiobert-from-scratch,Tracheal tube/canula,0.92,0.86,0.86
800,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
800,bert-base-multilingual-cased,Congestion,0.74,0.68,0.66
800,bert-base-multilingual-cased,Opacity,0.77,0.47,0.45
800,bert-base-multilingual-cased,Effusion,0.84,0.71,0.71
800,bert-base-multilingual-cased,Pneumothorax,0.44,0.69,0.46
800,bert-base-multilingual-cased,Thoracic drain,0.86,0.86,0.82
800,bert-base-multilingual-cased,Venous Catheter,0.96,0.91,0.91
800,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.96
800,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.94,0.94
800,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
900,pt-radiobert-base-german-cased,Congestion,0.85,0.78,0.8
900,pt-radiobert-base-german-cased,Opacity,0.85,0.7,0.67
900,pt-radiobert-base-german-cased,Effusion,0.93,0.87,0.87
900,pt-radiobert-base-german-cased,Pneumothorax,0.79,0.83,0.78
900,pt-radiobert-base-german-cased,Thoracic drain,0.9,0.85,0.88
900,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.92,0.91
900,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.93,0.94
900,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.95
900,pt-radiobert-base-german-cased,Misplaced Medical Device,0.29,0.96,0.4
900,bert-base-german-cased,Congestion,0.86,0.82,0.82
900,bert-base-german-cased,Opacity,0.87,0.73,0.7
900,bert-base-german-cased,Effusion,0.91,0.84,0.85
900,bert-base-german-cased,Pneumothorax,0.38,0.65,0.4
900,bert-base-german-cased,Thoracic drain,0.89,0.81,0.86
900,bert-base-german-cased,Venous Catheter,0.97,0.93,0.92
900,bert-base-german-cased,Gastric Tube,0.96,0.93,0.95
900,bert-base-german-cased,Tracheal tube/canula,0.96,0.92,0.92
900,bert-base-german-cased,Misplaced Medical Device,0.08,0.95,0.2
900,pt-radiobert-from-scratch,Congestion,0.53,0.43,0.41
900,pt-radiobert-from-scratch,Opacity,0.81,0.6,0.56
900,pt-radiobert-from-scratch,Effusion,0.83,0.69,0.69
900,pt-radiobert-from-scratch,Pneumothorax,0.57,0.76,0.57
900,pt-radiobert-from-scratch,Thoracic drain,0.78,0.72,0.72
900,pt-radiobert-from-scratch,Venous Catheter,0.95,0.88,0.88
900,pt-radiobert-from-scratch,Gastric Tube,0.91,0.89,0.89
900,pt-radiobert-from-scratch,Tracheal tube/canula,0.88,0.8,0.8
900,pt-radiobert-from-scratch,Misplaced Medical Device,0.08,0.45,0.13
900,bert-base-multilingual-cased,Congestion,0.89,0.83,0.86
900,bert-base-multilingual-cased,Opacity,0.88,0.73,0.72
900,bert-base-multilingual-cased,Effusion,0.93,0.87,0.88
900,bert-base-multilingual-cased,Pneumothorax,0.66,0.8,0.65
900,bert-base-multilingual-cased,Thoracic drain,0.94,0.91,0.92
900,bert-base-multilingual-cased,Venous Catheter,0.97,0.93,0.92
900,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.95
900,bert-base-multilingual-cased,Tracheal tube/canula,0.96,0.92,0.93
900,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
1000,pt-radiobert-base-german-cased,Congestion,0.86,0.82,0.82
1000,pt-radiobert-base-german-cased,Opacity,0.88,0.74,0.73
1000,pt-radiobert-base-german-cased,Effusion,0.92,0.84,0.85
1000,pt-radiobert-base-german-cased,Pneumothorax,0.79,0.75,0.77
1000,pt-radiobert-base-german-cased,Thoracic drain,0.9,0.84,0.87
1000,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.92,0.91
1000,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.93,0.95
1000,pt-radiobert-base-german-cased,Tracheal tube/canula,0.96,0.92,0.93
1000,pt-radiobert-base-german-cased,Misplaced Medical Device,0.4,0.96,0.49
1000,bert-base-german-cased,Congestion,0.85,0.81,0.81
1000,bert-base-german-cased,Opacity,0.88,0.76,0.72
1000,bert-base-german-cased,Effusion,0.94,0.89,0.89
1000,bert-base-german-cased,Pneumothorax,0.66,0.75,0.64
1000,bert-base-german-cased,Thoracic drain,0.88,0.83,0.85
1000,bert-base-german-cased,Venous Catheter,0.95,0.9,0.89
1000,bert-base-german-cased,Gastric Tube,0.96,0.94,0.95
1000,bert-base-german-cased,Tracheal tube/canula,0.97,0.95,0.95
1000,bert-base-german-cased,Misplaced Medical Device,0.45,0.97,0.53
1000,pt-radiobert-from-scratch,Congestion,0.53,0.48,0.42
1000,pt-radiobert-from-scratch,Opacity,0.79,0.54,0.51
1000,pt-radiobert-from-scratch,Effusion,0.88,0.79,0.79
1000,pt-radiobert-from-scratch,Pneumothorax,0.41,0.68,0.43
1000,pt-radiobert-from-scratch,Thoracic drain,0.83,0.81,0.78
1000,pt-radiobert-from-scratch,Venous Catheter,0.95,0.89,0.88
1000,pt-radiobert-from-scratch,Gastric Tube,0.94,0.9,0.91
1000,pt-radiobert-from-scratch,Tracheal tube/canula,0.95,0.9,0.91
1000,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
1000,bert-base-multilingual-cased,Congestion,0.86,0.82,0.82
1000,bert-base-multilingual-cased,Opacity,0.87,0.71,0.7
1000,bert-base-multilingual-cased,Effusion,0.86,0.75,0.75
1000,bert-base-multilingual-cased,Pneumothorax,0.56,0.84,0.58
1000,bert-base-multilingual-cased,Thoracic drain,0.89,0.85,0.86
1000,bert-base-multilingual-cased,Venous Catheter,0.97,0.93,0.93
1000,bert-base-multilingual-cased,Gastric Tube,0.97,0.95,0.95
1000,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.94,0.94
1000,bert-base-multilingual-cased,Misplaced Medical Device,0.15,0.62,0.22
1100,pt-radiobert-base-german-cased,Congestion,0.89,0.85,0.86
1100,pt-radiobert-base-german-cased,Opacity,0.89,0.79,0.77
1100,pt-radiobert-base-german-cased,Effusion,0.92,0.86,0.86
1100,pt-radiobert-base-german-cased,Pneumothorax,0.8,0.81,0.78
1100,pt-radiobert-base-german-cased,Thoracic drain,0.9,0.84,0.87
1100,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.91,0.91
1100,pt-radiobert-base-german-cased,Gastric Tube,0.96,0.94,0.95
1100,pt-radiobert-base-german-cased,Tracheal tube/canula,0.98,0.95,0.96
1100,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
1100,bert-base-german-cased,Congestion,0.86,0.81,0.82
1100,bert-base-german-cased,Opacity,0.89,0.77,0.75
1100,bert-base-german-cased,Effusion,0.92,0.85,0.85
1100,bert-base-german-cased,Pneumothorax,0.78,0.81,0.77
1100,bert-base-german-cased,Thoracic drain,0.89,0.82,0.87
1100,bert-base-german-cased,Venous Catheter,0.97,0.93,0.93
1100,bert-base-german-cased,Gastric Tube,0.97,0.94,0.96
1100,bert-base-german-cased,Tracheal tube/canula,0.97,0.93,0.94
1100,bert-base-german-cased,Misplaced Medical Device,0,0,0
1100,pt-radiobert-from-scratch,Congestion,0.59,0.55,0.5
1100,pt-radiobert-from-scratch,Opacity,0.81,0.59,0.57
1100,pt-radiobert-from-scratch,Effusion,0.82,0.68,0.68
1100,pt-radiobert-from-scratch,Pneumothorax,0.48,0.57,0.46
1100,pt-radiobert-from-scratch,Thoracic drain,0.81,0.74,0.75
1100,pt-radiobert-from-scratch,Venous Catheter,0.96,0.91,0.9
1100,pt-radiobert-from-scratch,Gastric Tube,0.94,0.9,0.91
1100,pt-radiobert-from-scratch,Tracheal tube/canula,0.94,0.89,0.9
1100,pt-radiobert-from-scratch,Misplaced Medical Device,0,0,0
1100,bert-base-multilingual-cased,Congestion,0.85,0.81,0.81
1100,bert-base-multilingual-cased,Opacity,0.88,0.74,0.72
1100,bert-base-multilingual-cased,Effusion,0.92,0.86,0.86
1100,bert-base-multilingual-cased,Pneumothorax,0.52,0.68,0.52
1100,bert-base-multilingual-cased,Thoracic drain,0.91,0.84,0.88
1100,bert-base-multilingual-cased,Venous Catheter,0.97,0.94,0.93
1100,bert-base-multilingual-cased,Gastric Tube,0.96,0.94,0.95
1100,bert-base-multilingual-cased,Tracheal tube/canula,0.97,0.95,0.95
1100,bert-base-multilingual-cased,Misplaced Medical Device,0,0,0
1200,pt-radiobert-base-german-cased,Congestion,0.88,0.85,0.85
1200,pt-radiobert-base-german-cased,Opacity,0.89,0.77,0.76
1200,pt-radiobert-base-german-cased,Effusion,0.92,0.86,0.86
1200,pt-radiobert-base-german-cased,Pneumothorax,0.76,0.82,0.75
1200,pt-radiobert-base-german-cased,Thoracic drain,0.92,0.87,0.89
1200,pt-radiobert-base-german-cased,Venous Catheter,0.96,0.92,0.91
1200,pt-radiobert-base-german-cased,Gastric Tube,0.97,0.95,0.96
1200,pt-radiobert-base-german-cased,Tracheal tube/canula,0.97,0.94,0.95
1200,pt-radiobert-base-german-cased,Misplaced Medical Device,0,0,0
1200,bert-base-german-cased,Congestion,0.9,0.85,0.88
